Report Date,Reported For Date,Weight Range,Head Count,Average Weight,Price Range Low,Price Range High,Weighted Average Price
5/22/2019,5/21/2019,450-499,"1,785",476,45,70.88,64.02
5/22/2019,5/21/2019,500-549,"1,398",523,54.33,71.5,65.74
5/22/2019,5/21/2019,550/up,"1,026",586,61,72,67.06
5/21/2019,5/20/2019,300-399,545,368,47,65,57.18
5/21/2019,5/20/2019,400-449,806,426,45,69.25,56.34
5/21/2019,5/20/2019,450-499,"1,128",475,51,70,64.69
5/21/2019,5/20/2019,500-549,"1,407",523,56,72,66.68
5/21/2019,5/20/2019,550/up,928,586,61,74.5,67.7
5/20/2019,5/17/2019,300-399,"1,244",370,41.5,66,57.87
5/20/2019,5/17/2019,400-449,999,426,42.5,69.75,58.65
5/20/2019,5/17/2019,450-499,"1,465",474,46,70.5,63.95
5/20/2019,5/17/2019,500-549,"1,451",524,53,72,67.7
5/20/2019,5/17/2019,550/up,910,592,63,73.83,68.57
5/17/2019,5/16/2019,300-399,"1,005",369,47,66,57.56
5/17/2019,5/16/2019,400-449,"1,523",426,47,69.75,58.93
5/17/2019,5/16/2019,450-499,"1,271",475,52.36,70.5,63.87
5/17/2019,5/16/2019,500-549,"1,547",523,54,72.72,67.1
5/17/2019,5/16/2019,550/up,920,588,55.28,76.66,68.21
5/16/2019,5/15/2019,300-399,931,368,48,67.5,58.35
5/16/2019,5/15/2019,400-449,"1,706",426,46,70.25,58.21
5/16/2019,5/15/2019,450-499,"1,731",475,51.84,72.21,65.19
5/16/2019,5/15/2019,500-549,"1,617",524,54.81,72.5,66.72
5/16/2019,5/15/2019,550/up,"1,011",589,60.5,73.47,69.62
5/15/2019,5/14/2019,300-399,"1,048",371,47,68,58.11
5/15/2019,5/14/2019,400-449,"1,171",427,51,70.75,60.17
5/15/2019,5/14/2019,450-499,"1,743",476,52.5,71.89,65.54
5/15/2019,5/14/2019,500-549,"1,514",524,53,72.5,67.56
5/15/2019,5/14/2019,550/up,"1,258",587,57.53,73.95,69.5
5/14/2019,5/13/2019,300-399,667,369,46,69,59.11
5/14/2019,5/13/2019,400-449,"1,005",427,47,71.25,60.87
5/14/2019,5/13/2019,450-499,"1,626",476,51,72,65.44
5/14/2019,5/13/2019,500-549,"1,156",525,57,73,67.05
5/14/2019,5/13/2019,550/up,863,590,58,73.82,69.91
5/13/2019,5/10/2019,300-399,"1,067",372,46,69,58
5/13/2019,5/10/2019,400-449,"1,440",425,46,71.25,59.14
5/13/2019,5/10/2019,450-499,"1,648",474,48,71.12,65.71
5/13/2019,5/10/2019,500-549,"1,680",524,60.25,73,68.28
5/13/2019,5/10/2019,550/up,"1,016",588,61.25,73.44,69.37
5/10/2019,5/9/2019,300-399,"1,003",368,51.72,67,57.57
5/10/2019,5/9/2019,400-449,"1,474",427,46,71.25,58.72
5/10/2019,5/9/2019,450-499,"1,439",474,47,72,63.03
5/10/2019,5/9/2019,500-549,"1,765",524,54.25,73,67.29
5/10/2019,5/9/2019,550/up,"1,250",590,54.25,74,69.59
5/9/2019,5/8/2019,300-399,"1,067",371,38.5,67,56.54
5/9/2019,5/8/2019,400-449,"1,513",425,39.5,70.25,58.54
5/9/2019,5/8/2019,450-499,"1,550",474,47,71,64.36
5/9/2019,5/8/2019,500-549,"1,840",524,53.62,72.24,67.46
5/9/2019,5/8/2019,550/up,"1,027",591,62,72.72,68.9
5/8/2019,5/7/2019,300-399,"1,180",371,46,65,56.59
5/8/2019,5/7/2019,400-449,"1,031",426,46,69.75,59.58
5/8/2019,5/7/2019,450-499,"1,545",474,51,70.97,64.66
5/8/2019,5/7/2019,500-549,"1,848",524,57,73.15,66.78
5/8/2019,5/7/2019,550/up,"1,260",588,58,75.34,68.26
5/7/2019,5/6/2019,300-399,722,372,45,66,57.3
5/7/2019,5/6/2019,400-449,"1,153",427,45,67,57.46
5/7/2019,5/6/2019,450-499,"1,169",476,50,69.09,63.17
5/7/2019,5/6/2019,500-549,955,524,52,71.32,64.67
5/7/2019,5/6/2019,550/up,802,584,59,73.55,66.97
5/6/2019,5/3/2019,300-399,850,371,38,64.75,55.35
5/6/2019,5/3/2019,400-449,"1,188",424,43.75,67.75,56.66
5/6/2019,5/3/2019,450-499,"1,688",475,45,68.5,63.83
5/6/2019,5/3/2019,500-549,"1,451",524,60,70.88,66.07
5/6/2019,5/3/2019,550/up,908,584,60.76,71.93,67.18
5/3/2019,5/2/2019,300-399,"1,440",363,44,65,56.1
5/3/2019,5/2/2019,400-449,"1,321",424,45,66,56.64
5/3/2019,5/2/2019,450-499,"1,415",472,49.66,72.5,63.18
5/3/2019,5/2/2019,500-549,"1,925",523,50,71.34,65.54
5/3/2019,5/2/2019,550/up,877,587,62,71.42,66.37
5/2/2019,5/1/2019,300-399,"1,221",368,42,64,54.47
5/2/2019,5/1/2019,400-449,"1,398",426,43,65,54.98
5/2/2019,5/1/2019,450-499,"2,005",476,48,68.5,60.5
5/2/2019,5/1/2019,500-549,"1,697",524,48,69.5,63.19
5/2/2019,5/1/2019,550/up,561,591,58.8,69.5,64.98
5/1/2019,4/30/2019,300-399,"1,061",371,42,64,55.35
5/1/2019,4/30/2019,400-449,"1,137",424,41,65.75,56.16
5/1/2019,4/30/2019,450-499,"1,656",474,46,68.58,60.76
5/1/2019,4/30/2019,500-549,"1,884",523,57.39,72.73,63.13
5/1/2019,4/30/2019,550/up,822,590,46,72.73,64.25
4/30/2019,4/29/2019,300-399,"1,009",369,40.75,63,53.18
4/30/2019,4/29/2019,400-449,"1,165",427,42,65.25,55.47
4/30/2019,4/29/2019,450-499,"1,452",476,40.75,66,59.91
4/30/2019,4/29/2019,500-549,"1,451",525,55.65,67.03,62
4/30/2019,4/29/2019,550/up,818,586,57.67,67.5,62.81
4/29/2019,4/26/2019,300-399,886,373,44,62,53.91
4/29/2019,4/26/2019,400-449,"1,349",428,41,64.25,54.3
4/29/2019,4/26/2019,450-499,"1,770",475,41,65,58.89
4/29/2019,4/26/2019,500-549,"1,376",524,56.28,66,60.8
4/29/2019,4/26/2019,550/up,"1,024",586,58,66.74,61.45
4/26/2019,4/25/2019,300-399,804,375,39,61,51.84
4/26/2019,4/25/2019,400-449,"1,366",427,39,63.25,51.86
4/26/2019,4/25/2019,450-499,"1,217",474,39,64,56.21
4/26/2019,4/25/2019,500-549,"1,839",524,56.64,65.65,60.88
4/26/2019,4/25/2019,550/up,952,587,57,67.82,60.84
4/25/2019,4/24/2019,300-399,"1,073",372,40,60,51.39
4/25/2019,4/24/2019,400-449,"1,548",424,39,62.25,52.7
4/25/2019,4/24/2019,450-499,"1,888",475,40,63,56.73
4/25/2019,4/24/2019,500-549,"2,329",523,45,64.94,59.49
4/25/2019,4/24/2019,550/up,673,585,46.73,64,60.07
4/24/2019,4/23/2019,300-399,922,373,39.25,60,52.07
4/24/2019,4/23/2019,400-449,"1,348",425,38,61.25,52.15
4/24/2019,4/23/2019,450-499,"1,792",474,39,63,57.32
4/24/2019,4/23/2019,500-549,"2,004",524,43,64.66,58.92
4/24/2019,4/23/2019,550/up,"1,146",590,50.55,64,59.38
4/23/2019,4/22/2019,300-399,"1,068",370,37,59,49.69
4/23/2019,4/22/2019,400-449,954,428,39,60,52.14
4/23/2019,4/22/2019,450-499,"1,434",476,37,61,54.06
4/23/2019,4/22/2019,500-549,"1,095",523,46,62.5,57.03
4/23/2019,4/22/2019,550/up,937,589,54,63.5,57.53
4/22/2019,4/19/2019,300-399,"1,155",370,36,57,50.38
4/22/2019,4/19/2019,400-449,"1,083",426,41,60.25,50.22
4/22/2019,4/19/2019,450-499,"1,174",473,41,61,54.65
4/22/2019,4/19/2019,500-549,"1,615",524,54,62.38,58.2
4/22/2019,4/19/2019,550/up,688,588,54,62.5,57.68
4/19/2019,4/18/2019,300-399,793,372,36.25,55.75,47.41
4/19/2019,4/18/2019,400-449,"1,609",424,36,59.25,46.59
4/19/2019,4/18/2019,450-499,"1,520",474,41.25,60,53.3
4/19/2019,4/18/2019,500-549,"1,451",524,43.54,61.61,55.89
4/19/2019,4/18/2019,550/up,668,593,54,61.61,56.86
4/18/2019,4/17/2019,300-399,892,367,31.93,55.5,46.07
4/18/2019,4/17/2019,400-449,"1,213",426,31.93,56.5,47.72
4/18/2019,4/17/2019,450-499,"1,418",474,41,60,52.98
4/18/2019,4/17/2019,500-549,"1,599",525,41,60.99,54.23
4/18/2019,4/17/2019,550/up,"1,049",586,44.25,61.99,56.8
4/17/2019,4/16/2019,300-399,955,374,35,55,46.79
4/17/2019,4/16/2019,400-449,981,428,39.77,59.25,47.65
4/17/2019,4/16/2019,450-499,"1,491",475,40,60,51.8
4/17/2019,4/16/2019,500-549,"1,852",523,42.66,61,54.23
4/17/2019,4/16/2019,550/up,"1,020",586,52,61,54.66
4/16/2019,4/15/2019,300-399,878,372,33.75,53,45.92
4/16/2019,4/15/2019,400-449,"1,152",426,34,56.75,46.42
4/16/2019,4/15/2019,450-499,"1,341",475,44.64,58.5,51.4
4/16/2019,4/15/2019,500-549,"1,485",524,48.04,59.5,53.78
4/16/2019,4/15/2019,550/up,829,590,46.74,60.5,53.9
4/15/2019,4/12/2019,300-399,990,376,34,53,46.45
4/15/2019,4/12/2019,400-449,"1,114",426,32.75,55.25,45.35
4/15/2019,4/12/2019,450-499,"1,191",473,39,56.5,48.9
4/15/2019,4/12/2019,500-549,"1,570",523,49,59,53.01
4/15/2019,4/12/2019,550/up,"1,060",584,50,61,53.43
4/12/2019,4/11/2019,300-399,979,370,33.5,52.25,45.25
4/12/2019,4/11/2019,400-449,"1,292",426,25,53.25,44.09
4/12/2019,4/11/2019,450-499,"1,514",474,33,55.5,48.52
4/12/2019,4/11/2019,500-549,"2,151",523,39,57,51.53
4/12/2019,4/11/2019,550/up,951,584,40.95,58.5,52.48
4/11/2019,4/10/2019,300-399,"1,146",368,29.9,52,43.28
4/11/2019,4/10/2019,400-449,"1,091",425,33,53.75,44.35
4/11/2019,4/10/2019,450-499,"1,618",475,38,58.75,47.71
4/11/2019,4/10/2019,500-549,"1,725",524,40.06,56.5,51.06
4/11/2019,4/10/2019,550/up,643,589,41.53,57.5,52.37
4/10/2019,4/9/2019,300-399,"1,216",370,31,51,44.42
4/10/2019,4/9/2019,400-449,"1,365",426,33,52.75,44.72
4/10/2019,4/9/2019,450-499,"1,757",474,40.41,54,49.07
4/10/2019,4/9/2019,500-549,"1,492",524,41.5,55.5,51.11
4/10/2019,4/9/2019,550/up,"1,279",590,47.73,55.69,51.57
4/9/2019,4/8/2019,300-399,"1,109",366,31,50.5,43.68
4/9/2019,4/8/2019,400-449,"1,110",426,33,50.5,43.45
4/9/2019,4/8/2019,450-499,"1,371",475,38,50.98,47.58
4/9/2019,4/8/2019,500-549,"1,469",525,38,55.47,50.17
4/9/2019,4/8/2019,550/up,945,585,47,54,50.89
4/8/2019,4/5/2019,300-399,"1,085",374,26.79,52,43.75
4/8/2019,4/5/2019,400-449,"1,190",428,26.79,52,43.69
4/8/2019,4/5/2019,450-499,"1,629",473,33,52.5,47.31
4/8/2019,4/5/2019,500-549,"1,630",525,45.62,53.63,48.63
4/8/2019,4/5/2019,550/up,994,589,47,54,50.39
4/5/2019,4/4/2019,300-399,978,370,30,52,44.54
4/5/2019,4/4/2019,400-449,"1,466",425,31,52,43.11
4/5/2019,4/4/2019,450-499,"2,071",475,36,53.92,46.62
4/5/2019,4/4/2019,500-549,"1,460",525,37,54.42,48.35
4/5/2019,4/4/2019,550/up,"1,177",583,39.49,55.42,50.49
4/4/2019,4/3/2019,300-399,"1,001",368,25.68,52,41.71
4/4/2019,4/3/2019,400-449,"1,434",426,25.68,52,41.87
4/4/2019,4/3/2019,450-499,"1,570",476,35,53,46.09
4/4/2019,4/3/2019,500-549,"1,814",524,38.42,54,48.19
4/4/2019,4/3/2019,550/up,909,588,45.5,55,48.85
4/3/2019,4/2/2019,300-399,"1,085",370,28,52,43.12
4/3/2019,4/2/2019,400-449,"1,398",426,29,52,42.13
4/3/2019,4/2/2019,450-499,"1,591",474,29,53,45.23
4/3/2019,4/2/2019,500-549,"2,084",525,38.57,54,48.06
4/3/2019,4/2/2019,550/up,"1,023",587,38.57,55,48.06
4/2/2019,4/1/2019,300-399,"1,090",373,28,48,40.61
4/2/2019,4/1/2019,400-449,"1,171",427,28.25,48.25,40.66
4/2/2019,4/1/2019,450-499,"1,305",475,28,49.29,44.08
4/2/2019,4/1/2019,500-549,"1,510",524,42.72,51.87,46.24
4/2/2019,4/1/2019,550/up,937,593,44,50.5,46.98
4/1/2019,3/29/2019,300-399,937,374,27,48,40.47
4/1/2019,3/29/2019,400-449,997,426,29,48.5,40.58
4/1/2019,3/29/2019,450-499,"1,190",474,33,49,43.85
4/1/2019,3/29/2019,500-549,"2,019",524,39,50.88,45.92
4/1/2019,3/29/2019,550/up,"1,074",585,44,51.67,47.54
3/29/2019,3/28/2019,300-399,"1,109",367,27,47,39.5
3/29/2019,3/28/2019,400-449,"1,747",426,27,48.25,39.05
3/29/2019,3/28/2019,450-499,"1,537",474,32.94,49,43.83
3/29/2019,3/28/2019,500-549,"1,649",525,34,50,45.57
3/29/2019,3/28/2019,550/up,774,588,33.96,50.5,46.22
3/28/2019,3/27/2019,300-399,"1,307",370,26.13,46.75,37.6
3/28/2019,3/27/2019,400-449,"1,219",426,26.13,48.25,38.58
3/28/2019,3/27/2019,450-499,"1,695",475,33,49,43.19
3/28/2019,3/27/2019,500-549,"1,542",523,33.5,50,45.18
3/28/2019,3/27/2019,550/up,881,584,43,50,45.36
3/27/2019,3/26/2019,300-399,"1,257",371,26,47,39.89
3/27/2019,3/26/2019,400-449,"1,150",427,28,48.75,39.4
3/27/2019,3/26/2019,450-499,"1,532",474,31.94,51.89,43.02
3/27/2019,3/26/2019,500-549,"1,987",524,33.55,50.87,45.4
3/27/2019,3/26/2019,550/up,"1,065",588,38.64,50.5,45.99
3/26/2019,3/25/2019,300-399,857,373,26,47,38.57
3/26/2019,3/25/2019,400-449,869,428,27,48,38.13
3/26/2019,3/25/2019,450-499,"1,195",475,33,49,41.94
3/26/2019,3/25/2019,500-549,973,524,38,47.25,43.61
3/26/2019,3/25/2019,550/up,660,586,43.15,51,45.47
3/25/2019,3/22/2019,300-399,881,376,27,45,38.31
3/25/2019,3/22/2019,400-449,"1,219",428,26,45.75,38.52
3/25/2019,3/22/2019,450-499,"1,874",475,31,49,43.19
3/25/2019,3/22/2019,500-549,"1,497",524,41.85,49,45.5
3/25/2019,3/22/2019,550/up,703,589,43.89,50,46.05
3/22/2019,3/21/2019,300-399,991,370,25,45.75,37.04
3/22/2019,3/21/2019,400-449,"1,526",426,26,49.75,38.28
3/22/2019,3/21/2019,450-499,"1,614",474,31.1,50.5,41.85
3/22/2019,3/21/2019,500-549,"1,614",523,32.9,51.5,46.19
3/22/2019,3/21/2019,550/up,938,585,44,51.5,46.14
3/21/2019,3/20/2019,300-399,"1,027",375,26.57,45.75,36.68
3/21/2019,3/20/2019,400-449,"1,319",426,26,48.75,37.16
3/21/2019,3/20/2019,450-499,"1,996",476,31,51.18,44
3/21/2019,3/20/2019,500-549,"1,329",525,34.3,50.5,45.45
3/21/2019,3/20/2019,550/up,902,584,44,50.9,46.7
3/20/2019,3/19/2019,300-399,"1,244",370,28.75,45.75,39.47
3/20/2019,3/19/2019,400-449,"1,356",426,26,49.75,39.43
3/20/2019,3/19/2019,450-499,"1,869",474,32,50.5,43.57
3/20/2019,3/19/2019,500-549,"1,849",524,33.44,52.25,46.9
3/20/2019,3/19/2019,550/up,999,589,43,51.5,47.04
3/19/2019,3/18/2019,300-399,911,368,27,47,38.88
3/19/2019,3/18/2019,400-449,986,422,26,47.75,38.7
3/19/2019,3/18/2019,450-499,998,474,28,48.5,43.08
3/19/2019,3/18/2019,500-549,842,524,43.1,49.25,45.61
3/19/2019,3/18/2019,550/up,646,590,44,50.86,47.12
3/18/2019,3/15/2019,300-399,939,369,26,48,40.22
3/18/2019,3/15/2019,400-449,"1,007",426,27,50.25,39.44
3/18/2019,3/15/2019,450-499,"1,685",474,29,51,44.37
3/18/2019,3/15/2019,500-549,"1,769",522,34,52,46.61
3/18/2019,3/15/2019,550/up,761,583,44,52,47.78
3/15/2019,3/14/2019,300-399,"1,262",367,26,48,39.51
3/15/2019,3/14/2019,400-449,"1,491",426,28,50.25,39.52
3/15/2019,3/14/2019,450-499,"1,704",474,33,51.75,44.72
3/15/2019,3/14/2019,500-549,"1,904",524,35.06,53.64,47.51
3/15/2019,3/14/2019,550/up,623,588,34,53.42,48.34
3/14/2019,3/13/2019,300-399,"1,047",375,28,48.25,38.15
3/14/2019,3/13/2019,400-449,"1,721",427,28,50.25,39.11
3/14/2019,3/13/2019,450-499,"1,916",476,33,52,45.3
3/14/2019,3/13/2019,500-549,"1,903",522,35.2,53,48.27
3/14/2019,3/13/2019,550/up,660,586,35.2,54,49.8
3/13/2019,3/12/2019,300-399,"1,342",367,32.28,48.75,40.73
3/13/2019,3/12/2019,400-449,"1,241",426,27,51.25,41.55
3/13/2019,3/12/2019,450-499,"1,822",475,33,52.96,46.85
3/13/2019,3/12/2019,500-549,"2,054",522,34,54,49.01
3/13/2019,3/12/2019,550/up,"1,049",590,47,54,50.14
3/12/2019,3/11/2019,300-399,937,370,28.75,48,39.65
3/12/2019,3/11/2019,400-449,"1,076",427,28,49,40.7
3/12/2019,3/11/2019,450-499,"1,108",476,34,50,46.58
3/12/2019,3/11/2019,500-549,873,523,39.5,51.21,48.3
3/12/2019,3/11/2019,550/up,723,592,45.5,52.69,49.93
3/11/2019,3/8/2019,300-399,"1,907",371,25,49,39.36
3/11/2019,3/8/2019,400-449,"1,381",426,25,51.75,39.73
3/11/2019,3/8/2019,450-499,"1,417",475,31.5,52.75,47.94
3/11/2019,3/8/2019,500-549,"1,399",523,44.25,53.5,49.68
3/11/2019,3/8/2019,550/up,"1,066",587,45.25,53.5,50.17
3/8/2019,3/7/2019,300-399,954,369,27,48,39.54
3/8/2019,3/7/2019,400-449,"1,127",425,19,51.75,39.98
3/8/2019,3/7/2019,450-499,"1,726",475,32,52.5,46.13
3/8/2019,3/7/2019,500-549,"1,900",525,35.73,53.7,49.42
3/8/2019,3/7/2019,550/up,809,586,35.73,55,51.41
3/7/2019,3/6/2019,300-399,"1,121",369,24.27,47.75,38.82
3/7/2019,3/6/2019,400-449,"1,215",425,24.27,52.25,39.85
3/7/2019,3/6/2019,450-499,"1,773",473,28,53,47.32
3/7/2019,3/6/2019,500-549,"1,468",522,33,54.14,50.29
3/7/2019,3/6/2019,550/up,940,587,47,54.06,50.33
3/6/2019,3/5/2019,300-399,"1,150",368,28,47.25,38.68
